mean;std;skew;kurt;RMS;crest;freq_peak;shan;perm;temp;tohn/hour
0.041953674;0.914251779;-0.076741301;-1.411710741;0.915204736;1.066359212;474.0094802;10.10550045;1.126811544;23.14;3.1
0.041953674;0.914251779;-0.076741301;-1.411710741;0.915204736;1.066359212;474.0094802;10.10550045;1.126811544;23.14;3.1
0.043739604;0.923441427;-0.092539962;-1.440416863;0.924467504;1.043350682;162.0032401;10.03565264;1.122023875;23.15;3.02
0.043739604;0.923441427;-0.092539962;-1.440416863;0.924467504;1.043350682;162.0032401;10.03565264;1.122023875;23.15;3.02
0.0341309;0.903900373;-0.067976006;-1.402168733;0.904535495;1.048723021;474.0094802;10.4115547;1.149069215;23.15;3.02
0.0341309;0.903900373;-0.067976006;-1.402168733;0.904535495;1.048723021;474.0094802;10.4115547;1.149069215;23.15;3.02
0.018196267;0.921627294;-0.051940562;-1.434985913;0.921797692;1.052932084;474.0094802;10.03920432;1.108660157;23.15;3.05
0.018196267;0.921627294;-0.051940562;-1.434985913;0.921797692;1.052932084;474.0094802;10.03920432;1.108660157;23.15;3.05
0.016238761;0.894578778;-0.028633939;-1.370205839;0.894717208;1.041754077;478.0095602;10.44595099;1.142652349;23.15;3.05
0.016238761;0.894578778;-0.028633939;-1.370205839;0.894717208;1.041754077;478.0095602;10.44595099;1.142652349;23.15;3.05
0.026641915;0.922905378;-0.066827666;-1.438108525;0.923280614;1.047875621;476.0095202;10.02191484;1.110030484;23.15;3.05
0.026641915;0.922905378;-0.066827666;-1.438108525;0.923280614;1.047875621;476.0095202;10.02191484;1.110030484;23.15;3.05
0.026317238;0.90714523;-0.045272607;-1.403621229;0.907517827;1.042199922;474.0094802;10.28647761;1.124396034;23.15;3.05
0.026317238;0.90714523;-0.045272607;-1.403621229;0.907517827;1.042199922;474.0094802;10.28647761;1.124396034;23.15;3.05
0.031118486;0.924496918;-0.062331381;-1.444624023;0.925011252;1.054379373;474.0094802;10.01276149;1.123893484;23.16;3.03
0.031118486;0.924496918;-0.062331381;-1.444624023;0.925011252;1.054379373;474.0094802;10.01276149;1.123893484;23.16;3.03
0.019764324;0.912855897;-0.046803701;-1.415026156;0.913060705;1.047825649;166.0033201;10.2516585;1.122102642;23.16;3.03
0.019764324;0.912855897;-0.046803701;-1.415026156;0.913060705;1.047825649;166.0033201;10.2516585;1.122102642;23.16;3.03
0.027259422;0.935652337;-0.051012617;-1.478618042;0.93603999;1.051690409;170.0034001;9.93770307;1.114191316;23.16;3.02
0.027259422;0.935652337;-0.051012617;-1.478618042;0.93603999;1.051690409;170.0034001;9.93770307;1.114191316;23.16;3.02
0.036087207;0.902179097;-0.079434359;-1.380124024;0.902891539;1.050974962;476.0095202;10.28936595;1.140121237;23.16;3.02
0.036087207;0.902179097;-0.079434359;-1.380124024;0.902891539;1.050974962;476.0095202;10.28936595;1.140121237;23.16;3.02
0.022474637;0.93351119;-0.03144245;-1.459967008;0.933772361;1.05050905;476.0095202;9.817983559;1.111357018;23.16;3.05
0.022474637;0.93351119;-0.03144245;-1.459967008;0.933772361;1.05050905;476.0095202;9.817983559;1.111357018;23.16;3.05
0.037109086;0.921463055;-0.076571591;-1.444375095;0.922200772;1.046205008;474.0094802;10.10892651;1.112433213;23.16;3.05
0.037109086;0.921463055;-0.076571591;-1.444375095;0.922200772;1.046205008;474.0094802;10.10892651;1.112433213;23.16;3.05
0.022932452;0.911732473;-0.03356851;-1.408969619;0.912011718;1.051381904;476.0095202;10.17294211;1.117315646;23.16;3.03
0.022932452;0.911732473;-0.03356851;-1.408969619;0.912011718;1.051381904;476.0095202;10.17294211;1.117315646;23.16;3.03
0.008083285;0.933693554;-0.009643002;-1.460543877;0.933719206;1.054639552;476.0095202;9.789137595;1.096580226;23.16;3.03
0.008083285;0.933693554;-0.009643002;-1.460543877;0.933719206;1.054639552;476.0095202;9.789137595;1.096580226;23.16;3.03
0.019075187;0.900520495;-0.054926141;-1.391724808;0.900713498;1.043842024;476.0095202;10.45692952;1.165064021;23.16;3.03
0.019075187;0.900520495;-0.054926141;-1.391724808;0.900713498;1.043842024;476.0095202;10.45692952;1.165064021;23.16;3.03
0.01688085;0.931040791;-0.0361198;-1.460878907;0.931184504;1.046516572;476.0095202;9.975569402;1.128897188;23.16;3.03
0.01688085;0.931040791;-0.0361198;-1.460878907;0.931184504;1.046516572;476.0095202;9.975569402;1.128897188;23.16;3.03
0.040167588;0.892764371;-0.092524558;-1.363679945;0.893658613;1.041256875;168.0033601;10.54475811;1.155241544;23.17;3.05
0.040167588;0.892764371;-0.092524558;-1.363679945;0.893658613;1.041256875;168.0033601;10.54475811;1.155241544;23.17;3.05
0.034443286;0.916052451;-0.083426263;-1.426197977;0.916690597;1.040511549;476.0095202;10.21724437;1.141266411;23.17;3.05
0.034443286;0.916052451;-0.083426263;-1.426197977;0.916690597;1.040511549;476.0095202;10.21724437;1.141266411;23.17;3.05
0.030793123;0.938342784;-0.054898906;-1.474616391;0.938838531;1.0480735;476.0095202;9.747028269;1.112755437;23.17;3.1
0.030793123;0.938342784;-0.054898906;-1.474616391;0.938838531;1.0480735;476.0095202;9.747028269;1.112755437;23.17;3.1
0.028974447;0.922921603;-0.06099497;-1.438742868;0.923367082;1.041676755;474.0094802;10.06912209;1.124972014;23.17;3.1
0.028974447;0.922921603;-0.06099497;-1.438742868;0.923367082;1.041676755;474.0094802;10.06912209;1.124972014;23.17;3.1
0.036471856;0.913334489;-0.090082978;-1.416245124;0.914053282;1.028133851;476.0095202;10.25064233;1.132188106;23.17;3.08
0.036471856;0.913334489;-0.090082978;-1.416245124;0.914053282;1.028133851;476.0095202;10.25064233;1.132188106;23.17;3.08
0.031794607;0.915116486;-0.071403004;-1.4164221;0.915659506;1.046198338;476.0095202;10.18808705;1.137666268;23.17;3.08
0.031794607;0.915116486;-0.071403004;-1.4164221;0.915659506;1.046198338;476.0095202;10.18808705;1.137666268;23.17;3.08
0.026041127;0.931339362;-0.040002111;-1.46152866;0.931694048;1.04428455;476.0095202;9.906561529;1.12193017;23.18;3.08
0.026041127;0.931339362;-0.040002111;-1.46152866;0.931694048;1.04428455;476.0095202;9.906561529;1.12193017;23.18;3.08
0.027809208;0.915250832;-0.047392339;-1.413926733;0.915664067;1.036427768;476.0095202;10.1131858;1.131792364;23.18;3.08
0.027809208;0.915250832;-0.047392339;-1.413926733;0.915664067;1.036427768;476.0095202;10.1131858;1.131792364;23.18;3.08
0.040118687;0.919098238;-0.074626843;-1.43471339;0.91996423;1.046938887;164.0032801;10.11002252;1.140438433;23.18;3.08
0.040118687;0.919098238;-0.074626843;-1.43471339;0.91996423;1.046938887;164.0032801;10.11002252;1.140438433;23.18;3.08
0.029299422;0.900527207;-0.077908818;-1.388560393;0.900994721;1.043404467;476.0095202;10.42590568;1.148617986;23.18;3.08
0.029299422;0.900527207;-0.077908818;-1.388560393;0.900994721;1.043404467;476.0095202;10.42590568;1.148617986;23.18;3.08
0.01796344;0.90639849;-0.049805305;-1.410713951;0.906567414;1.055899422;474.0094802;10.36307644;1.151761699;23.19;3.08
